,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
7773,-75996,58387,-58847,-4546,-34428,25410,52833,-194857,487660
7774,-75996,58387,-58847,-4595,-36131,25410,52669,-193431,489699
7775,-75996,58387,-58953,-1796,-42911,25545,48488,-186402,498021
7776,-75996,58401,-58944,-1533,-45290,25545,47612,-183764,500381
7777,-75996,58401,-58944,-1599,-45290,25545,47684,-183747,500379
7778,-75850,58401,-58944,-2614,-42133,25545,50173,-187428,496718
7779,-75534,58401,-58944,-2672,-40077,25545,51604,-189105,494827
7780,-74858,58401,-58944,-2464,-37932,25545,54142,-190873,492411
7781,-72965,58331,-58944,-2464,-31217,25545,61940,-195235,484519
7782,-66077,58331,-58944,-2439,-21571,25545,87644,-194056,471555
7783,-64627,58331,-58944,-2439,-21253,25545,92606,-191992,471106
7784,-63133,58331,-58944,-2485,-21133,25545,97634,-189581,470936
7785,-61591,58331,-58944,-2485,-21133,25545,102702,-186884,470936
7786,-60035,58331,-58944,-2485,-21133,25545,107739,-184026,470936
7787,-57629,58331,-58944,-2485,-20944,25545,115431,-179462,470667
7788,-55587,58331,-58944,-2561,-19828,25545,122165,-175894,469074
7789,-53571,58331,-58944,-2488,-17720,25545,128955,-172705,466030
7790,-52412,58331,-58944,-2384,-14599,25996,133348,-171667,461433
7791,-51962,58331,-58944,-2436,-11945,26697,135411,-171784,457447
7792,-51834,58331,-58944,-2378,-7713,27551,136667,-173071,450976
7793,-51834,58331,-58944,-2378,-4448,28853,137148,-174029,445904
7794,-51834,58331,-58944,-2378,-1030,29262,137458,-174787,440539
7795,-51954,58331,-58944,-1748,2757,29262,137241,-175589,434548
7796,-51954,58331,-58944,-842,6444,29262,137292,-175681,428692
7797,-51983,58331,-58944,-768,8163,29262,137135,-175702,425963
7798,-51983,58331,-58944,-768,9052,29262,137075,-175655,424554
7799,-51983,58397,-58944,-768,9690,29262,137234,-175881,423288
7800,-51983,58536,-58944,-768,10060,29262,137650,-176425,422158
7801,-51983,58872,-58944,-768,10396,29262,138691,-177768,420312
7802,-51983,59195,-58944,-826,10364,29262,139722,-179113,419074
7803,-51983,59856,-58944,-989,10413,29262,141764,-181804,416367
7804,-51983,60548,-58944,-901,10413,29262,143955,-184566,413562
7805,-51983,61314,-58944,-812,10413,29262,147010,-188432,409522
7806,-51983,62382,-58944,-762,10413,29262,149641,-191773,405921
7807,-51983,63547,-58944,-762,10559,29262,153124,-196234,400676
7808,-51983,64503,-58944,-699,10817,29262,156599,-200658,394958
7809,-51983,66308,-58944,-699,11458,29262,160984,-206286,386986
7810,-51983,67655,-58944,-699,12296,29262,164528,-210846,379481
7811,-51983,69013,-58944,-509,13344,29262,167949,-215140,371488
7812,-51983,70490,-58944,0,14604,29262,171553,-219447,362496
7813,-51983,72046,-58944,1001,15907,29262,175297,-223390,352534
7814,-51983,73550,-58944,1880,17228,29262,178776,-227251,343535
7815,-51983,75089,-58944,2533,18544,29262,182047,-230794,333878
7816,-51983,76305,-58944,2533,19350,29262,184975,-234434,324694
7817,-51983,78128,-58944,2662,20346,29475,187801,-237834,315487
7818,-51983,79602,-58944,3162,20665,29746,190899,-241318,307364
7819,-52023,81026,-58944,4166,20656,30149,193945,-244657,299708
7820,-52023,82382,-58944,4968,20656,31539,196825,-247618,292302
7821,-52023,83611,-58944,6165,20656,32445,199706,-249926,285543
7822,-52023,84819,-58944,7922,20656,33171,202600,-251978,278904
7823,-52023,86024,-58944,9889,20656,33569,205286,-254016,272198
7824,-52023,87799,-58944,10925,20656,33569,208510,-257217,262109
7825,-52023,89228,-58995,11140,20656,33569,210763,-259911,254096
7826,-52023,90573,-59070,11140,20601,33569,212755,-262488,246653
7827,-52102,91680,-59127,11087,20601,33569,213894,-264762,240388
7828,-52135,92623,-59239,11087,20796,33569,215005,-266416,235142
7829,-52502,93846,-60058,11087,22019,33569,215582,-270194,230719
7830,-52994,95224,-61501,10913,24384,33569,216071,-274864,227308
7831,-53732,96855,-63903,10836,28324,33569,216369,-281181,225658
7832,-54586,98349,-66484,10573,31981,33569,215966,-288474,225961
7833,-55417,100130,-69937,10573,36425,33569,216784,-296984,228135
7834,-56098,102130,-73295,10573,40436,33569,218274,-305394,228706
7835,-56740,103943,-77332,10429,43440,33569,220882,-316126,234320
7836,-57253,106201,-81705,10364,47139,33569,224304,-326577,237948
7837,-57574,108601,-86205,9957,50016,33569,229506,-339689,242130
7838,-57769,110728,-90404,9189,52025,33569,232948,-347915,245130
7839,-57948,112643,-94159,8261,54030,33503,236418,-359061,248351
7840,-58171,114247,-97416,7434,55767,33580,238153,-365217,251234
7841,-58426,115944,-100104,7005,57749,33580,240100,-372753,253751
7842,-58639,117356,-103487,6377,59841,33580,240767,-378257,254837
7843,-58913,119108,-106919,6105,62185,33580,242125,-385009,256676
7844,-59315,120911,-110356,5871,64772,33580,242265,-391777,257816
7845,-59554,122716,-113666,5922,66671,33580,243993,-398110,258509
7846,-59952,124502,-116922,5890,68458,33580,243981,-404374,258714
7847,-60119,125960,-119481,5892,70639,33580,244907,-408555,258278
7848,-60539,127720,-122549,5829,72564,33580,244303,-414572,257559
7849,-60653,129475,-124898,5961,74277,33580,246028,-419021,256160
7850,-60826,131142,-128304,5771,75600,33580,246849,-423979,254932
7851,-61030,133005,-131230,5708,76243,33580,248172,-430122,252657
7852,-61188,134461,-133361,5907,76131,33580,249782,-435262,250323
7853,-61313,136374,-136068,5844,76131,33580,251781,-441404,246533
7854,-61370,137880,-137650,5844,76131,33580,253437,-445485,240767
7855,-61488,139003,-139242,5844,76059,33580,254207,-449135,238429
7856,-61597,140465,-140567,5925,75933,33580,255362,-453076,231711
7857,-61728,141355,-141211,6093,75616,33580,255772,-455825,226930
7858,-61741,142299,-141613,6138,75175,33580,256879,-458215,220497
7859,-61864,143185,-141700,6079,74438,33580,257095,-461100,213140
7860,-61933,143703,-141700,6079,73664,33580,257433,-463150,208760
7861,-61933,144442,-141700,6079,72398,33580,258772,-465794,202572
7862,-62146,144839,-141752,6079,70976,33580,258233,-469181,199918
7863,-62221,145518,-141752,6408,69557,33580,259212,-472770,193602
7864,-62350,146108,-141822,6713,67529,33509,260330,-475732,190476
7865,-62491,146802,-141822,6777,66177,33509,260607,-479225,184950
7866,-62496,147570,-141822,6777,64304,33509,261866,-482005,178644
7867,-62626,148137,-141896,6834,62821,33509,261992,-485054,174594
7868,-62630,148868,-141896,7138,60641,33509,263868,-488271,169130
7869,-62668,149493,-141896,7140,58627,33323,265333,-492189,163475
7870,-62730,150210,-141896,7384,55696,33175,266428,-495777,159878
7871,-62802,151059,-141896,7720,52355,33110,268102,-500549,154359
7872,-62772,151871,-141896,8323,49410,33110,271073,-504957,149759
7873,-62772,152660,-141896,8545,45423,33110,272729,-508998,144921
7874,-62772,153525,-141896,8545,40975,33110,274636,-514375,140697
7875,-62772,154380,-141896,8545,36162,33110,276451,-519843,137239
7876,-62772,155113,-141896,8545,31301,33110,278020,-524980,135371
7877,-62772,155970,-141896,8483,27459,33110,279289,-529699,132393
7878,-62772,156817,-141896,8483,23027,33110,280268,-533621,129149
7879,-62772,157506,-141896,8483,19155,33110,280831,-536170,125976
7880,-62772,158209,-141896,8483,15166,33110,281408,-539243,124052
7881,-62818,158760,-141943,8483,12134,33110,281318,-541654,122763
7882,-62890,159551,-142018,8483,8813,33110,280906,-544207,119582
7883,-62884,160391,-142293,8426,6000,33110,281180,-546059,116334
7884,-62999,161028,-142941,8043,3922,33110,280375,-548335,116394
7885,-62991,161879,-143550,8043,2357,33110,280696,-549545,113165
7886,-63051,162697,-144216,8043,1166,33110,280349,-550981,110079
7887,-63052,163338,-144775,7836,0,33110,280541,-551854,108226
7888,-63104,163810,-145420,7902,-622,33110,280218,-552861,108255
7889,-63104,164538,-146079,7902,-1752,33110,280368,-553664,105875
7890,-63104,165165,-146991,7902,-2801,33110,280617,-554582,105831
7891,-63190,165887,-147709,7624,-3640,33110,279995,-555860,104971
7892,-63269,166493,-148565,6795,-5021,33110,279403,-556879,104184
7893,-63389,166940,-149276,6270,-6204,33110,278404,-558199,104627
7894,-63493,167597,-150145,5587,-7273,33110,277624,-559186,105093
7895,-63751,168062,-150923,4298,-8034,33110,275473,-560799,105875
7896,-63983,168471,-151798,3021,-9029,33110,273616,-562292,108205
7897,-64250,168822,-152823,2256,-9510,33110,271356,-563944,111255
7898,-64608,169209,-153586,566,-9346,33110,268350,-565696,111326
7899,-64980,169563,-154901,-1204,-9932,33110,265302,-567668,116213
7900,-65185,169626,-155530,-2178,-9859,33110,263589,-568681,119166
7901,-65308,169626,-155736,-2207,-9858,33110,262402,-569294,120389
7902,-65377,169626,-156288,-2385,-9858,33110,261816,-569710,123686
7903,-65291,169626,-156288,-2331,-9858,33110,262659,-569322,123687
7904,-65107,169626,-156335,-2331,-9858,33110,264486,-568487,123968
7905,-64860,169626,-156335,-2260,-9858,33165,266923,-567346,123969
7906,-64408,169626,-156281,-2260,-9858,33165,271384,-565214,123645
7907,-63789,169626,-156281,-2073,-9858,33165,277429,-562271,123647
7908,-62939,169626,-156281,-2060,-9858,33165,285734,-558097,123647
7909,-62429,169626,-156281,-1987,-9858,33165,290679,-555537,123648
7910,-60901,169626,-156222,-2005,-9809,33165,305381,-547581,123221
7911,-60123,169626,-156183,-2005,-9809,33165,312780,-543378,122984
7912,-59483,169626,-156183,-2005,-8822,33165,318801,-539896,121416
7913,-58858,169626,-156183,-1986,-8006,33165,324629,-536411,120122
7914,-58179,169558,-156183,-1928,-6017,33165,330821,-532530,117707
7915,-57542,169326,-156183,-1773,-3041,33165,336430,-528671,115529
7916,-56975,168904,-156183,-868,1480,33165,341039,-524720,113018
7917,-56493,168187,-156183,-459,6434,33165,344618,-520675,113138
7918,-55937,167232,-156109,-459,12869,33165,348056,-515091,113279
7919,-55616,166274,-156109,-459,19620,33165,348703,-510013,113698
7920,-55289,164963,-156109,-512,26067,33165,348921,-504345,118689
7921,-54973,163801,-156109,-512,30350,33165,349630,-499550,125296
7922,-54800,162389,-156109,-512,36241,33165,347881,-493997,132613
7923,-54606,160981,-156109,-512,40511,33165,346840,-489080,142138
7924,-54499,159604,-156109,-512,43348,33165,345665,-485555,153113
7925,-54427,158148,-156109,-512,45788,33165,344202,-482263,165344
7926,-54353,157358,-156109,-512,47076,33165,343527,-480030,172004
7927,-54353,156514,-156055,-512,47759,33165,342728,-478927,179603
7928,-54353,155502,-156055,-512,48338,33165,341726,-477539,189318
7929,-54301,154485,-156055,-512,49408,33165,340743,-475274,198477
7930,-54310,153606,-156055,-512,50309,33165,339170,-473272,206380
7931,-54310,152868,-156038,-512,51643,33165,337872,-471481,212236
7932,-54310,152110,-156038,-512,52618,33165,336342,-469371,218444
7933,-54310,151343,-156038,-512,54011,33165,334851,-467310,224896
7934,-54310,150627,-156038,-512,55363,33165,332935,-464667,230089
7935,-54310,149827,-156038,-512,57323,33165,330558,-461386,236315
7936,-54310,149059,-156038,-512,59585,33165,328541,-458600,241446
7937,-54310,148466,-156038,-512,61955,33165,326158,-455311,244765
7938,-54310,147488,-156038,-512,63669,33165,323392,-451483,252116
7939,-54310,146708,-156038,-512,65635,33165,320951,-448105,258096
7940,-54310,145996,-156038,-512,67322,33165,318981,-445375,263266
7941,-54310,145177,-156038,-512,68236,33165,316979,-442598,270018
7942,-54310,144618,-156038,-512,68965,33165,315717,-440846,274792
7943,-54310,144067,-156038,-512,69245,33409,314647,-439357,279718
7944,-54310,143541,-156113,-512,69310,33578,313727,-438078,284991
7945,-54310,143200,-156113,-512,69310,33642,313158,-437286,288201
7946,-54310,142981,-156113,-512,69362,33642,312750,-436718,290203
7947,-54310,142900,-156318,-512,69362,33707,312552,-436442,291992
7948,-54310,142900,-156366,-512,69290,33707,312589,-436493,292307
7949,-54310,142900,-156366,-512,69290,33707,312589,-436493,292307
7950,-54310,142900,-156231,-512,69419,33707,312536,-436421,291499
7951,-54310,142851,-156108,-512,69571,33707,312378,-436201,291183
7952,-54310,142851,-156107,-459,69911,33707,312194,-435815,290839
7953,-54310,142851,-156107,-459,70246,33633,311949,-435476,290510
7954,-54310,142851,-156107,-459,70606,33633,311684,-435110,290160
7955,-54310,142851,-156107,-459,70961,33633,311422,-434748,289817
7956,-54239,142851,-156107,-459,71244,33633,311751,-434070,289545
7957,-54239,142851,-156107,-459,71354,33633,311670,-433957,289440
7958,-54045,142851,-156107,-459,71415,33585,313090,-432837,289382
7959,-53931,142851,-156107,-602,71809,33585,313501,-431921,289011
7960,-53780,142851,-156107,-502,72448,33585,314253,-430359,288411
7961,-53674,142851,-156107,-504,73250,33585,314433,-428940,287673
7962,-53659,142851,-156107,0,73934,33585,314632,-427687,287052
7963,-53659,142991,-156107,0,74311,33585,314545,-427568,285382
7964,-53659,142982,-156107,555,74577,33649,315035,-426799,285276
7965,-53721,143011,-156107,351,75166,33649,313365,-426931,284373
7966,-53721,142937,-156107,0,75581,33594,313023,-426464,284816
7967,-53721,142866,-156107,0,75581,33594,312855,-426236,285739
7968,-53721,142810,-156107,0,75486,33707,312932,-426341,286121
7969,-53721,142743,-156107,0,75422,33644,313241,-425885,286738
7970,-53721,142621,-156107,522,75422,33564,313262,-425434,287868
7971,-53659,142310,-155801,522,75353,33564,313317,-424547,289306
7972,-53659,141880,-155248,522,75353,33564,312712,-423725,290549
7973,-53659,141560,-154468,766,75151,33564,312638,-422995,290300
7974,-53659,140267,-151805,768,74039,33564,311963,-422082,289543
7975,-53659,139355,-149662,768,72501,33564,311902,-422015,288590
7976,-53659,137988,-146185,768,70396,33564,311473,-421455,285496
7977,-53659,136663,-142727,768,67712,33564,311292,-421243,282432
7978,-53659,135512,-139577,768,64651,33564,311453,-421507,279519
7979,-53659,133948,-135017,768,61611,33564,310357,-420066,272886
7980,-53659,132896,-131690,768,59249,33564,309908,-419339,267605
7981,-53659,131748,-128279,1022,56984,33564,308354,-416856,261730
7982,-53659,130551,-125482,1073,55284,33564,306556,-414182,255949
7983,-53659,129576,-121948,1287,53334,33564,304317,-410771,250084
7984,-53659,128300,-118353,1828,51441,33564,301978,-406356,244233
7985,-53659,126931,-114770,2740,49859,33564,299922,-402081,239850
7986,-53659,125504,-111278,4164,48559,33564,297312,-395786,235171
7987,-53659,124347,-108587,5384,47751,33564,294996,-390330,231864
7988,-53506,122259,-104130,6692,47265,33564,290310,-379334,226989
7989,-53256,120701,-100563,6935,47013,33564,286289,-370038,221863
7990,-53193,119107,-97782,7136,46958,33564,281589,-362522,220794
7991,-53109,116852,-94573,7535,46181,33564,276279,-353756,223164
7992,-53109,114855,-91530,8306,45021,33564,271379,-346077,224361
7993,-53109,112284,-87876,8452,44109,33564,264012,-336246,226288
7994,-53109,110375,-85444,8452,43450,33564,258709,-329367,228769
7995,-53161,108782,-83488,8515,42838,33564,254130,-323943,231049
7996,-53161,107212,-81561,8515,42060,33564,249913,-318538,233230
7997,-53161,105262,-79351,8515,41275,33564,244746,-311871,236452
7998,-53161,103725,-77672,8515,40996,33564,240477,-306256,238855
7999,-53161,100925,-74843,8570,41069,33564,232585,-295605,243445
8000,-53161,99035,-73034,8712,41042,33564,227485,-288561,246762
8001,-53161,97144,-71181,9341,41042,33564,222659,-281039,249617
8002,-53161,95139,-69284,9608,41108,33564,217210,-273285,252549
8003,-53161,93109,-67375,9608,41050,33564,211511,-265696,255273
8004,-53161,91365,-65738,9760,41053,33564,206682,-258989,257342
8005,-53161,88515,-63123,9972,41053,33564,198801,-248107,260459
8006,-53161,84156,-59313,10088,41108,33564,186729,-231775,264742
8007,-53161,81647,-57187,10207,41108,33564,179921,-222483,266839
8008,-53161,79040,-55043,10640,41108,33564,173199,-212768,268828
8009,-53161,76846,-53294,11213,41180,33564,167762,-204503,270323
8010,-53161,74326,-51272,11213,41269,33564,160944,-195368,271340
8011,-53161,71620,-49617,11213,41707,33564,154149,-186129,274202
8012,-53161,69364,-48210,11213,42424,33564,147897,-177460,275704
